"Date","BMRI.JK.Adjusted","JKSE.Adjusted"
2020-01-02,2800.02587890625,6283.5810546875
2020-01-03,2790.99340820312,6323.4658203125
2020-01-06,2745.83154296875,6257.40283203125
2020-01-07,2745.83154296875,6279.34619140625
2020-01-08,2709.7021484375,6225.68603515625
2020-01-09,2781.96069335938,6274.4931640625
2020-01-10,2790.99340820312,6274.94091796875
2020-01-13,2790.99340820312,6296.56689453125
2020-01-14,2800.02587890625,6325.40576171875
2020-01-15,2763.89624023438,6283.365234375
2020-01-16,2727.7666015625,6286.0478515625
2020-01-17,2790.99340820312,6291.6572265625
2020-01-20,2754.86376953125,6245.04296875
2020-01-21,2781.96069335938,6238.15283203125
2020-01-22,2818.09033203125,6233.453125
2020-01-23,2809.05786132812,6249.2099609375
2020-01-24,2863.251953125,6244.10888671875
2020-01-27,2790.99340820312,6133.2080078125
2020-01-28,2800.02587890625,6111.18408203125
2020-01-29,2818.09033203125,6113.044921875
2020-01-30,2763.89624023438,6057.59619140625
2020-01-31,2727.7666015625,5940.0478515625
2020-02-03,2709.7021484375,5884.169921875
2020-02-04,2718.73461914062,5922.3388671875
2020-02-05,2781.96069335938,5978.509765625
2020-02-06,2781.96069335938,5987.14501953125
2020-02-07,2790.99340820312,5999.60693359375
2020-02-10,2790.99340820312,5952.0830078125
2020-02-11,2809.05786132812,5954.39697265625
2020-02-12,2818.09033203125,5913.0810546875
2020-02-13,2836.15478515625,5871.9541015625
2020-02-14,2827.12280273438,5866.94482421875
2020-02-17,2836.15478515625,5867.52294921875
2020-02-18,2827.12280273438,5886.9619140625
2020-02-19,2872.28442382812,5928.791015625
2020-02-20,2890.34912109375,5942.48681640625
2020-02-21,2854.2197265625,5882.2548828125
2020-02-24,2809.05786132812,5807.0498046875
2020-02-25,2818.09033203125,5787.13818359375
2020-02-26,2763.89624023438,5688.9208984375
2020-02-27,2655.50805664062,5535.69384765625
2020-02-28,2761.14990234375,5452.7041015625
2020-03-02,2637.79956054688,5361.24609375
2020-03-03,2732.68432617188,5518.6279296875
2020-03-04,2837.05786132812,5650.13623046875
2020-03-05,2884.50024414062,5638.1298828125
2020-03-06,2751.6611328125,5498.5400390625
2020-03-09,2495.47216796875,5136.80908203125
2020-03-10,2609.333984375,5220.826171875
2020-03-11,2590.35693359375,5154.10498046875
2020-03-12,2438.54125976562,4895.748046875
2020-03-13,2410.07592773438,4907.57080078125
2020-03-16,2410.07592773438,4690.6572265625
2020-03-17,2096.95556640625,4456.7490234375
2020-03-18,1954.62854003906,4330.673828125
2020-03-19,1817.994140625,4105.421875
2020-03-20,1692.74621582031,4194.94384765625
2020-03-23,1575.0888671875,3989.51708984375
2020-03-24,1465.02233886719,3937.63208007812
2020-03-26,1696.54162597656,4338.90380859375
